package name,version,source,downloads,language
knplabs/knp-paginator-bundle,,packagist,"{u'last_month': 209441, u'overall': 8010067, u'last_day': 8626}",php
phpmailer/phpmailer,,packagist,"{u'last_month': 321315, u'overall': 7925125, u'last_day': 12444}",php
zendframework/zend-config,,packagist,"{u'last_month': 281930, u'overall': 7898428, u'last_day': 13690}",php
namshi/jose,,packagist,"{u'last_month': 368844, u'overall': 7849439, u'last_day': 15765}",php
symfony/expression-language,,packagist,"{u'last_month': 505620, u'overall': 7771038, u'last_day': 23792}",php
knplabs/gaufrette,,packagist,"{u'last_month': 217349, u'overall': 7756318, u'last_day': 9824}",php
d11wtq/boris,,packagist,"{u'last_month': 66964, u'overall': 7706554, u'last_day': 2893}",php
behat/symfony2-extension,,packagist,"{u'last_month': 218948, u'overall': 7682301, u'last_day': 9933}",php
evenement/evenement,,packagist,"{u'last_month': 297589, u'overall': 7677176, u'last_day': 13785}",php
barryvdh/reflection-docblock,,packagist,"{u'last_month': 412619, u'overall': 7670775, u'last_day': 19543}",php
symfony/intl,,packagist,"{u'last_month': 488764, u'overall': 7550022, u'last_day': 19222}",php
dragonmantank/cron-expression,,packagist,"{u'last_month': 1067588, u'overall': 7549151, u'last_day': 46921}",php
php-http/message,,packagist,"{u'last_month': 529356, u'overall': 7530848, u'last_day': 24273}",php
php-http/message-factory,,packagist,"{u'last_month': 504009, u'overall': 7442401, u'last_day': 21695}",php
slim/slim,,packagist,"{u'last_month': 241643, u'overall': 7429848, u'last_day': 9263}",php
zendframework/zend-i18n,,packagist,"{u'last_month': 254811, u'overall': 7393986, u'last_day': 12236}",php
clue/stream-filter,,packagist,"{u'last_month': 496585, u'overall': 7379317, u'last_day': 21832}",php
pagerfanta/pagerfanta,,packagist,"{u'last_month': 268885, u'overall': 7345333, u'last_day': 9869}",php
snc/redis-bundle,,packagist,"{u'last_month': 304205, u'overall': 7343457, u'last_day': 15328}",php
react/event-loop,,packagist,"{u'last_month': 287289, u'overall': 7252089, u'last_day': 12227}",php
giggsey/locale,,packagist,"{u'last_month': 434205, u'overall': 7176100, u'last_day': 19506}",php
liip/imagine-bundle,,packagist,"{u'last_month': 207234, u'overall': 7160878, u'last_day': 8753}",php
league/event,,packagist,"{u'last_month': 433681, u'overall': 7153835, u'last_day': 18342}",php
league/oauth2-server,,packagist,"{u'last_month': 408814, u'overall': 6989952, u'last_day': 16701}",php
